,laptop_ID,Company,Product,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price_euros,Touchscreen,IPS,PPI,Cpu_brand,HDD,SSD,Gpu_brand,log_price
0,1,Apple,MacBook Pro,Ultrabook,Intel Core i5 2.3GHz,8,Intel Iris Plus Graphics 640,macOS,1.37,1339.69,0,1,226.98300468106115,Intel Core i5,0,128,Intel,7.20019352289739
1,2,Apple,Macbook Air,Ultrabook,Intel Core i5 1.8GHz,8,Intel HD Graphics 6000,macOS,1.34,898.94,0,0,127.67794013309688,Intel Core i5,0,0,Intel,6.801216291421215
2,3,HP,250 G6,Notebook,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,No OS,1.86,575.0,0,0,141.21199808219862,Intel Core i5,0,256,Intel,6.354370040797351
3,4,Apple,MacBook Pro,Ultrabook,Intel Core i7 2.7GHz,16,AMD Radeon Pro 455,macOS,1.83,2537.45,0,1,220.53462386625827,Intel Core i7,0,512,AMD,7.83891491872241
4,5,Apple,MacBook Pro,Ultrabook,Intel Core i5 3.1GHz,8,Intel Iris Plus Graphics 650,macOS,1.37,1803.6,0,1,226.98300468106115,Intel Core i5,0,256,Intel,7.4975399465469295
5,6,Acer,Aspire 3,Notebook,AMD A9-Series 9420 3GHz,4,AMD Radeon R5,Windows 10,2.1,400.0,0,0,100.45466986113651,AMD Processor,500,0,AMD,5.991464547107982
6,7,Apple,MacBook Pro,Ultrabook,Intel Core i7 2.2GHz,16,Intel Iris Pro Graphics,Mac OS X,2.04,2139.97,0,1,220.53462386625827,Intel Core i7,0,0,Intel,7.668547089226045
7,8,Apple,Macbook Air,Ultrabook,Intel Core i5 1.8GHz,8,Intel HD Graphics 6000,macOS,1.34,1158.7,0,0,127.67794013309688,Intel Core i5,0,0,Intel,7.055053966003016
8,9,Asus,ZenBook UX430UN,Ultrabook,Intel Core i7 8550U 1.8GHz,16,Nvidia GeForce MX150,Windows 10,1.3,1495.0,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,7.3098814858247865
9,10,Acer,Swift 3,Ultrabook,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,Windows 10,1.6,770.0,0,1,157.3505121487356,Intel Core i5,0,256,Intel,6.646390514847729
10,11,HP,250 G6,Notebook,Intel Core i5 7200U 2.5GHz,4,Intel HD Graphics 620,No OS,1.86,393.9,0,0,100.45466986113651,Intel Core i5,500,0,Intel,5.97609706997686
11,12,HP,250 G6,Notebook,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,No OS,1.86,344.99,0,0,141.21199808219862,Intel Core i3,500,0,Intel,5.843515431104025
12,13,Apple,MacBook Pro,Ultrabook,Intel Core i7 2.8GHz,16,AMD Radeon Pro 555,macOS,1.83,2439.97,0,1,220.53462386625827,Intel Core i7,0,256,AMD,7.7997410231296955
13,14,Dell,Inspiron 3567,Notebook,Intel Core i3 6006U 2GHz,4,AMD Radeon R5 M430,Windows 10,2.2,498.9,0,0,141.21199808219862,Intel Core i3,0,256,AMD,6.212405674866992
